"ORDESTOK,N,6,0","GRARARTI,C,10","CODIDEPO,C,2","ANTESTOK,N,12,2","ACTUSTOK,N,12,2","MINISTOK,N,12,2","MAXISTOK,N,12,2","PEDISTOK,N,12,2","INGRSTOK,N,12,2","EGRESTOK,N,12,2","AUXISTOK,N,8,2","UBICSTOK,C,5","CAPESTOK,N,12,2","CODIARTI,C,10","UBICSTO1,C,5","CODIPAPE,C,2","CODITIDE,C,1","VEPRSTOK,N,12,2","STOCKP,N,12,2"
294,12145,01,0,0,0,0,0,0,0,0,,0,,,,,,
295,07002,01,0,0,0,0,0,0,0,0,,0,,,,,,
296,07010,01,0,0,0,0,0,0,0,0,,0,,,,,,
297,07015,01,0,0,0,0,0,0,0,0,,0,,,,,,
298,07021,01,0,0,0,0,0,0,0,0,,0,,,,,,
299,07022,01,0,0,0,0,0,0,0,0,,0,,,,,,
300,07023,01,0,0,0,0,0,0,0,0,,0,,,,,,
301,07030,01,0,0,0,0,0,0,0,0,,0,,,,,,
302,07031,01,0,0,0,0,0,0,0,0,,0,,,,,,
303,07035,01,0,0,0,0,0,0,0,0,,0,,,,,,
304,07040,01,0,0,0,0,0,0,0,0,,0,,,,,,
305,07050,01,0,0,0,0,0,0,0,0,,0,,,,,,
306,07055,01,0,0,0,0,0,0,0,0,,0,,,,,,
307,07056,01,0,0,0,0,0,0,0,0,,0,,,,,,
308,07060,01,0,0,0,0,0,0,0,0,,0,,,,,,
309,07061,01,0,0,0,0,0,0,0,0,,0,,,,,,
310,6141150520,01,0,0,0,0,0,0,0,0,,0,,,,,,
311,6143114880,01,0,0,0,0,0,0,0,0,,0,,,,,,
312,6143114280,01,0,0,0,0,0,0,0,0,,0,,,,,,
313,07025,01,0,0,0,0,0,0,0,0,,0,,,,,,
314,07027,01,0,0,0,0,0,0,0,0,,0,,,,,,
315,12142,01,0,0,0,0,0,0,0,0,,0,,,,,,
316,08002,01,0,0,0,0,0,0,0,0,,0,,,,,,
317,08003,01,0,0,0,0,0,0,0,0,,0,,,,,,
318,08004,01,0,0,0,0,0,0,0,0,,0,,,,,,
319,08005,01,0,0,0,0,0,0,0,0,,0,,,,,,
