"ORDEARTI,N,6,0","CODIARTI,C,10","CODIGRAR,C,4","DESCARTI,C,70","UNMEARTI,C,3","ENVAARTI,C,5","UNENARTI,N,5,0","CODIIMP1,C,2","CODIIMP2,C,2","CODIDECA,C,2","CODIDEOP,C,2","ISTKARTI,C,1","IMOVARTI,C,1","CODIESPE,C,2","DECAARTI,N,5,2","REFIARTI,N,6,2","FLETARTI,N,6,2","MARGARTI,N,6,2","COEFARTI,N,8,4","POR1DEOP,N,5,2","POR2DEOP,N,5,2","POR3DEOP,N,5,2","POR4DEOP,N,5,2","POR5DEOP,N,5,2","POR6DEOP,N,5,2","POR7DEOP,N,5,2","CODIPROV,C,3","NUMEMODE,C,10","NPROARTI,C,15","CODIIMP3,C,2","FRANARTI,C,1","PREFARTI,C,4","BASIARTI,C,8","SUF1ARTI,C,2","SUF2ARTI,C,3","PARTARTI,C,22","BAINARTI,C,8","TIPOARTI,C,1","RECAARTI,N,8,2","COMIARTI,N,5,2","NUMECUEN,C,6","ACTIARTI,C,1","PROVARTI,C,5","FEACARTI,D","OBSOARTI,C,1","COB1ARTI,C,30","COB2ARTI,C,30","COBAARTI,C,30","EMERARTI,C,40","HORAARTI,C,6","ULMOARTI,D","CODIMARC,C,3","FEBAARTI,D","SIREARTI,C,1","REEMARTI,C,21","NUMELIST,C,2","CLASARTI,C,3","GRUPARTI,C,1","INDIARTI,L","CODIDESE,C,4","PRECARTI,N,15,2","COPRARTI,C,20","FEALARTI,D","CODIDESC,C,2","MODEARTI,C,12","MARCARTI,C,10","ORIGARTI,C,10","DESPARTI,C,20","FEDEARTI,D","COPRATI,C,10","CODICATE,C,4","IMAGARTI,C,120","LOTEARTI,C,1"
9762,26941,0009,LIJA BANDA PORTATIL  50X478 GR150 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9763,26942,0009,LIJA BANDA PORTATIL  50X478 GR180 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9764,26943,0009,LIJA BANDA PORTATIL  75X1500 GR24 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9765,26944,0009,LIJA BANDA PORTATIL  75X1500 GR36 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9766,26945,0009,LIJA BANDA PORTATIL  75X1500 GR40 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9767,26946,0009,LIJA BANDA PORTATIL  75X1500 GR50 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9768,26947,0009,LIJA BANDA PORTATIL  75X1500 GR60 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9769,26948,0009,LIJA BANDA PORTATIL  75X1500 GR80 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9770,26949,0009,LIJA BANDA PORTATIL  75X1500 GR100,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9771,26950,0009,LIJA BANDA PORTATIL  75X1500 GR120,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9772,26951,0009,LIJA BANDA PORTATIL  75X1500 GR150,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9773,26952,0009,LIJA BANDA PORTATIL  75X1500 GR180,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9774,26953,0009,LIJA BANDA PORTATIL  75X2000 GR24 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9775,26954,0009,LIJA BANDA PORTATIL  75X2000 GR36 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9776,26955,0009,LIJA BANDA PORTATIL  75X2000 GR40 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9777,26956,0009,LIJA BANDA PORTATIL  75X2000 GR50 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9778,26957,0009,LIJA BANDA PORTATIL  75X2000 GR60 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9779,26958,0009,LIJA BANDA PORTATIL  75X2000 GR80 B,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9780,26959,0009,LIJA BANDA PORTATIL  75X2000 GR100,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9781,26960,0009,LIJA BANDA PORTATIL  75X2000 GR120,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9782,26961,0009,LIJA BANDA PORTATIL  75X2000 GR150,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
9783,26962,0009,LIJA BANDA PORTATIL  75X2000 GR180,,,1,01,,,,S,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,,
0,26963,0009,DISC CORTE SECUR EX. 180X3 C/R TRS-5-2 TYROLIT,1,1,25,01,,,,S,A,,,,,,,,,,,,,,599,,,,,,,,,7798300350491,,,,,,A,599,12/09/2024,,,,,,09:10:,18/09/2025,047,,,,,,,,,,TRS-5-2,,,,,,,,,08,,
0,26964,0009,DISCO CORTE SECUR EXTRA 230X3 C/D,1,1,25,01,,,,S,A,,,,,,,,,,,,,,599,,,A,,,,,,7798300350507,,,,,,A,599,,,,,,,17:24:,11/09/2024,047,,,,,,,,,,TRS-9-2,,,,,,,,,08,,
0,633021,0031,TAL. PERC.  20V 45NM - CIDLI201455 INGCO,1,1,1,01,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,633021,,,,,,I,790,,,,,,,14:50:,26/11/2025,051,,,,,,,,,,CIDLI20145,,,,,,,,,0192,F:\TEKNO\IMAGENES\INGCO\633021-TALADRO PERC. 45NM 20V CIDLI201455.PNG,
9787,633022,0031,"LLAVE IMP. 20V 1/2"" 500NM CIWLI20501 INGCO",1,1,1,01,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,6942141809804,,,,,,A,790,,,,,,,12:09:,01/06/2025,051,,,,,,,,,,CIWLI20501,,,,,,,,,0166,F:\TEKNO\IMAGENES\INGCO\633022-LLAVE IMPACTO 500NM 20V CIWLI20501.PNG,
9974,633023,0031,"LLAVE IMP. 20V 1/2"" 850NM CIWLI20851 INGCO",1,1,1,01,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,6976051784715,,,,,,A,790,,,,,,,12:10:,01/06/2025,051,,,,,,,,,,CIWLI20851,,,,,,,,,0166,F:\TEKNO\IMAGENES\INGCO\633023-LLAVE IMPACTO 850NM 20V CIWLI20851.PNG,
9789,633024,0031,"LLAVE CRIQUE 20V 3/8"" 65NM CDRLI2060151 INGCO",1,1,1,01,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,6976051789369,,,,,,A,790,,,,,,,09:52:,13/01/2026,004,,,,,,,,,,CDRLI2060151,,,,,,,,,0185,F:\TEKNO\IMAGENES\INGCO\633024-LLAVE CRIQUE 19MM 65NM 20V CDRLI2060151.PNG,
0,633025,0031,LAMPARA PORTATIL 20V LED CWLI2025 INGCO,1,1,1,01,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,6941640158994,,,,,,A,790,,,,,,,12:15:,01/06/2025,051,,,,,,,,,,CWLI2025,,,,,,,,,0155,F:\TEKNO\IMAGENES\INGCO\633025-LAMPARA PORTATIL 1800LMS 20V CWLI2025.PNG,
0,633026,0031,"MOTOSIERRA  20V 12"" CGSLI20128 INGCO",1,1,1,01,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,6941640163868,,,,,,A,790,,,,,,,12:16:,01/06/2025,051,,,,,,,,,,CGSLI20128,,,,,,,,,0125,F:\TEKNO\IMAGENES\INGCO\633026-MOTOSIERRA 300MM 20V CGSLI20128.PNG,
9792,633027,0031,"CORTACERCO 20V 18"" CHTLI20018 INGCO",1,1,1,01,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,6941640130211,,,,,,A,790,,,,,,,12:18:,01/06/2025,051,,,,,,,,,,CHTLI20018,,,,,,,,,0145,F:\TEKNO\IMAGENES\INGCO\633027-CORTACERCO 460MM 20V CHTLI20018.PNG,
0,633028,0031,SOPLADORA 20V BL 8.5M CABLI20428 INGCO,1,1,1,01,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,6941640169051,,,,,,A,790,,,,,,,12:20:,01/06/2025,051,,,,,,,,,,CABLI20428,,,,,,,,,0123,F:\TEKNO\IMAGENES\INGCO\633028-SOPLADOR 8.5M 20V CABLI20428.PNG,
9794,633032,0031,PISTOLA P/ PINTAR 20V 0.2BAR CSGLI2003 INGCO,1,1,1,01,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,6976051780564,,,,,,A,790,,,,,,,12:23:,01/06/2025,051,,,,,,,,,,CSGLI2003,,,,,,,,,0121,F:\TEKNO\IMAGENES\INGCO\633032-PISTOLA DE PINTAR 20V CSGLI2003.PNG,
0,633033,0031,PISTOLA P/ HOT MELT 20V CGGLI2001 INGCO,1,1,1,01,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,6925582130010,,,,,,A,790,,,,,,,12:27:,01/06/2025,051,,,,,,,,,,CGGLI2001,,,,,,,,,0185,F:\TEKNO\IMAGENES\INGCO\633033-PISTOLA P. PEGAMENTO 20VCGGLI2001.PNG,
9974,633034,0031,MARTILLO DEMOL. 1300W 20J PDB130018-4 INGCO,1,1,1,04,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,6941640165503,,,,,,A,790,,,,,,,12:44:,14/01/2026,051,,,,,,,,,,PDB130018-4,,,,,,,,,0156,F:\TEKNO\IMAGENES\INGCO\633034-MARTILLO DEMOLEDOR 1300W PDB130018-4.PNG,
9797,633035,0031,MARTILLO DEMOL. 2200W 75J PDB22001-4 INGCO,1,1,1,04,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,6925582134377,,,,,,A,790,,,,,,,12:30:,01/06/2025,051,,,,,,,,,,PDB22001-4,,,,,,,,,0156,F:\TEKNO\IMAGENES\INGCO\633035-MARTILLO DEMOLEDOR 2200W PDB22001-4.PNG,
9798,633036,0031,PISTOLA DE CALOR 2000W HG200058-4 INGCO,1,1,1,01,,,,S,A,,,,,,,,,,,,,,790,,,,,,,,,6942141802171,,,,,,A,790,,,,,,,14:53:,14/01/2026,051,,,,,,,,,,HG200058-4,,,,,,,,,0159,F:\TEKNO\IMAGENES\INGCO\633036-HG200058-4.PNG,
